,date,max_load
199,2010/3/31,15900.0
200,2010/4/1,16229.0
201,2010/4/3,14681.0
202,2010/4/5,12856.0
203,2010/4/6,15860.0
204,2010/4/7,15796.0
205,2010/4/8,16145.0
206,2010/4/9,16424.0
207,2010/4/10,14724.0
208,2010/4/12,16400.0
209,2010/4/13,16506.0
210,2010/4/14,17244.0
211,2010/4/15,17485.0
212,2010/4/16,16397.0
213,2010/4/17,14933.0
214,2010/4/18,14129.0
215,2010/4/19,15669.0
216,2010/4/20,16060.0
217,2010/4/23,15530.0
218,2010/4/24,14556.0
219,2010/4/25,13983.0
220,2010/4/26,15713.0
221,2010/4/27,15209.0
222,2010/4/28,15244.0
223,2010/4/29,15157.0
224,2010/4/30,13747.0
225,2010/5/1,11579.0
226,2010/5/2,12478.0
227,2010/5/3,13224.0
228,2010/5/4,14429.0
229,2010/5/5,15400.0
230,2010/5/6,16145.0
231,2010/5/7,15465.0
232,2010/5/8,14397.0
233,2010/5/9,15564.0
234,2010/5/12,15430.0
235,2010/5/13,15228.0
236,2010/5/14,15281.0
237,2010/5/15,14203.0
238,2010/5/16,13489.0
239,2010/5/17,15372.0
240,2010/5/18,16218.0
241,2010/5/20,16065.0
242,2010/5/21,15883.0
243,2010/5/22,14822.0
244,2010/5/23,13598.0
245,2010/5/24,15677.0
246,2010/5/25,16081.0
247,2010/5/26,16215.0
248,2010/5/27,16424.0
249,2010/5/28,15972.0
250,2010/5/29,14446.0
251,2010/5/30,15464.0
252,2010/6/1,15527.0
253,2010/6/2,15735.0
254,2010/6/3,15777.0
255,2010/6/4,15928.0
256,2010/6/5,16326.0
257,2010/6/8,16538.0
258,2010/6/9,15816.0
259,2010/6/10,16071.0
260,2010/6/11,16246.0
261,2010/6/12,16001.0
262,2010/6/13,15506.0
263,2010/6/16,17600.0
264,2010/6/18,18677.0
265,2010/6/19,18541.0
266,2010/6/22,17645.0
267,2010/6/23,19032.0
268,2010/6/24,17418.0
269,2010/6/25,17051.0
270,2010/6/26,15452.0
271,2010/6/27,14946.0
272,2010/6/28,17601.0
273,2010/6/29,17709.0
274,2010/6/30,20053.0
275,2010/7/1,21524.0
276,2010/7/2,22593.0
277,2010/7/5,20689.0
278,2010/7/6,19980.0
279,2010/7/7,20957.0
280,2010/7/10,19725.0
281,2010/7/13,19571.0
282,2010/7/14,18634.0
283,2010/7/15,19106.0
284,2010/7/16,19349.0
285,2010/7/17,17948.0
286,2010/7/18,22467.0
287,2010/7/21,23304.0
288,2010/7/22,23123.0
289,2010/7/23,22618.0
290,2010/7/26,20937.0
291,2010/7/27,19572.0
292,2010/7/28,22397.0
293,2010/7/30,23277.0
294,2010/7/31,21767.0
295,2010/8/1,22308.0
296,2010/8/2,25637.0
297,2010/8/3,25606.0
298,2010/8/4,25589.0
299,2010/8/5,24285.0
300,2010/8/6,23076.0
301,2010/8/8,19189.0
302,2010/8/9,23309.0
303,2010/8/10,23588.0
304,2010/8/11,24643.0
305,2010/8/12,25975.0
306,2010/8/13,25758.0
307,2010/8/14,24282.0
308,2010/8/15,23132.0
309,2010/8/16,25403.0
310,2010/8/17,24564.0
311,2010/8/18,24326.0
312,2010/8/19,23754.0
313,2010/8/20,23721.0
314,2010/8/21,21661.0
315,2010/8/22,20717.0
316,2010/8/23,24477.0
317,2010/8/24,24512.0
318,2010/8/25,24737.0
319,2010/8/26,24237.0
320,2010/8/27,22335.0
321,2010/8/28,18177.0
