,subTypeName,dealnum,close,open,low,average,dealamount,indate,high,deal
679,SZ2013,2308,44,36,36,0,83152,2016/4/8,44,36.03
680,SZ2014,4,43.2,43.2,43.2,0,178.6,2016/4/8,49,44.65
681,SZ2015,300,40.5,40.5,40.5,0,12150,2016/4/8,40.5,40.5
682,湖北,10856,21.77,22.4,21.61,0,236411,2016/4/8,22.4,21.78
683,重庆,0,10,10,10,0,0,2016/4/8,10,10
684,北京,16034,39.96,39.96,39.96,0,640661,2016/4/7,39.96,39.96
685,上海,3002,4.97,4.97,4.97,0,14910.1,2016/4/7,4.97,4.97
686,广东,85,13.55,12.99,12.49,0,1151.7,2016/4/7,14.29,13.55
687,天津,60,23.22,23.22,23.22,0,1393,2016/4/7,23.22,23.22
688,SZ2013,1000,40,40,40,0,40000,2016/4/7,40,40
689,SZ2014,3,48,45,45,0,141,2016/4/7,48,47
690,SZ2015,7,45,45,45,0,315,2016/4/7,45,45
691,湖北,36943,21.76,22.8,20.8,0,804927,2016/4/7,22,21.79
692,重庆,0,10,10,10,0,0,2016/4/7,10,10
693,北京,1510,38.99,38.99,38.99,0,58872,2016/4/6,38.99,38.99
694,上海,3000,5.1,5.1,5.1,0,15400,2016/4/6,5.1,5.1
695,广东,1060,12.99,14.31,12.99,0,13769.4,2016/4/6,12.99,12.99
696,天津,80,23.25,23.25,23.25,0,1860,2016/4/6,23.25,23.25
697,SZ2014,2,49.12,49.12,49.12,0,98.24,2016/4/6,49.12,49.12
698,SZ2015,775,44.55,40.5,40.5,0,31407.8,2016/4/6,44.55,40.53
699,SZ2013,0,44.11,44.11,44.11,0,0,2016/4/6,44.11,44.11
700,湖北,55113,21.95,22.8,21.6,0,1263510,2016/4/6,23.2,22.93
701,重庆,0,10,10,10,0,0,2016/4/6,10,10
702,北京,100,48.7,48.7,48.7,0,4870,2016/4/5,48.7,48.7
703,上海,25813,5.4,5.4,5.4,0,139390,2016/4/5,5.4,5.4
704,广东,0,14.31,14.23,12.81,0,0,2016/4/5,14.5,14.31
705,天津,60,23.2,23.2,23.2,0,1392,2016/4/5,23.2,23.2
706,SZ2015,2,40.5,40.5,40.5,0,81,2016/4/5,40.5,40.5
707,SZ2013,100,44.11,44.11,44.11,0,4411,2016/4/5,44.11,44.11
708,SZ2014,2,44.65,44.65,44.65,0,89.3,2016/4/5,44.65,44.65
709,湖北,2543,21.95,23,21.6,0,55483.5,2016/4/5,23,21.82
710,重庆,0,10,10,10,0,0,2016/4/5,10,10
711,北京,100,40.7,40.7,40.7,0,4070,2016/4/1,40.7,40.7
712,上海,10000,6,6,6,0,60000,2016/4/1,6,6
713,广东,1222,14.31,14.23,12.81,0,17487.8,2016/4/1,14.5,14.31
714,天津,120,23.17,23.17,23.17,0,2780,2016/4/1,23.17,23.17
715,SZ2013,1,49.01,49.01,49.01,0,49.01,2016/4/1,49.01,49.01
716,SZ2014,1,49.61,49.61,49.61,0,49.61,2016/4/1,49.61,49.61
717,SZ2015,2045,44,36.45,36.45,0,74880,2016/4/1,44,36.62
718,湖北,55366,22.07,23.68,21.93,0,1254130,2016/4/1,23.68,22.65
719,重庆,0,10,10,10,0,0,2016/4/1,10,10
720,北京,30320,33.94,33.94,33.94,0,1029100,2016/3/31,33.94,33.94
721,上海,20000,6.7,6.7,6.7,0,134000,2016/3/31,6.7,6.7
722,广东,400,14.23,14.23,14.23,0,5692,2016/3/31,14.23,14.23
723,天津,0,23.13,23.13,23.13,0,0,2016/3/31,23.13,23.13
724,SZ2013,0,54.45,54.45,54.45,0,0,2016/3/31,54.45,54.45
725,SZ2014,0,45.1,45.1,45.1,0,0,2016/3/31,45.1,45.1
726,SZ2015,5002,40,40.5,40,0,202580,2016/3/31,40.5,42.75
727,湖北,25171,21.53,22.15,21.5,0,544212,2016/3/31,22.19,21.62
728,重庆,0,10,10,10,0,0,2016/3/31,10,10
729,北京,1191,33.99,33.99,33.99,0,40478.8,2016/3/30,33.99,33.99
730,上海,3116,7.1,7.1,7.1,0,22126.2,2016/3/30,7.1,7.1
731,广东,13,15.81,16.4,14.76,0,205.58,2016/3/30,17.5,15.81
732,天津,100,23.13,23.13,23.13,0,2313,2016/3/30,23.13,23.13
733,SZ2014,5650,45.1,36.9,36.9,0,211804,2016/3/30,45.1,37.49
734,SZ2015,10004,40.5,49.5,40.5,0,360171,2016/3/30,49.5,42.75
735,SZ2013,0,54,54,54,0,0,2016/3/30,54,54
736,湖北,55114,21.9,21.75,21.7,0,1206990,2016/3/30,22,21.9
737,重庆,0,10,10,10,0,0,2016/3/30,10,10
738,北京,29949,39.97,39.97,39.97,0,1196930,2016/3/29,39.97,39.97
739,上海,100,7.9,7.9,7.9,0,790,2016/3/29,7.9,7.9
740,广东,280010,16.4,16.2,14.58,0,4592150,2016/3/29,16.4,16.4
741,天津,0,23.08,23.08,23.08,0,0,2016/3/29,23.08,23.08
742,SZ2015,0,45,45,45,0,0,2016/3/29,45,45
743,SZ2013,0,54.45,54.45,54.45,0,0,2016/3/29,54.45,54.45
744,SZ2014,850,41,41,41,0,34850,2016/3/29,41,41
745,湖北,21103,21.73,22.59,21.71,0,458796,2016/3/29,22.59,21.74
746,重庆,0,10,10,10,0,0,2016/3/29,10,10
747,北京,6410,36.91,36.91,36.91,0,236624,2016/3/28,36.91,36.91
748,上海,20,8.8,8.8,8.8,0,176,2016/3/28,8.8,8.8
749,广东,0,16.2,16.2,16.2,0,0,2016/3/28,16.2,16.2
750,天津,0,23.08,23.08,23.08,0,0,2016/3/28,23.08,23.08
751,SZ2013,0,54.45,54.45,54.45,0,0,2016/3/28,54.45,54.45
752,SZ2014,1,42.5,42.5,42.5,0,42.5,2016/3/28,42.5,42.5
753,SZ2015,13500,45,45,45,0,459000,2016/3/28,45,45
754,湖北,50600,21.92,22.55,21.67,0,1112880,2016/3/28,22.55,21.99
755,重庆,0,10,10,10,0,0,2016/3/28,10,10
756,北京,1451,37.75,37.75,37.75,0,54774.1,2016/3/25,37.75,37.75
757,上海,0,9.8,9.8,9.8,0,0,2016/3/25,9.8,9.8
758,广东,0,16.2,16.2,16.2,0,0,2016/3/25,16.2,16.2
759,天津,60,23.08,23.08,23.08,0,1385,2016/3/25,23.08,23.08
760,SZ2013,0,54.45,54.45,54.45,0,0,2016/3/25,54.45,54.45
761,SZ2014,100,42.57,42.57,42.57,0,4740.14,2016/3/25,42.57,42.57
762,SZ2015,45,45,45,45,0,2025,2016/3/25,45,45
763,湖北,21355,22.05,22.4,21.8,0,470899,2016/3/25,22.4,22.05
764,重庆,0,10,10,10,0,0,2016/3/25,10,10
765,北京,0,36.79,36.79,36.79,0,0,2016/3/24,36.79,36.79
766,上海,0,9.8,9.8,9.8,0,0,2016/3/24,9.8,9.8
767,广东,280400,16.2,16.1,14.41,0,3404480,2016/3/24,16.8,16.2
768,天津,140,23.09,23.09,23.09,0,3232,2016/3/24,23.09,23.09
769,SZ2014,157,43,47.3,43,0,7421.8,2016/3/24,47.3,47.27
770,SZ2015,10062,44,44,44,0,303728,2016/3/24,44,44
771,SZ2013,0,54.45,54.45,54.45,0,0,2016/3/24,54.45,54.45
772,湖北,49520,22.05,22.5,21.7,0,1096890,2016/3/24,22.5,22.15
773,重庆,0,10,10,10,0,0,2016/3/24,10,10
774,北京,209,37.2,37.2,37.2,0,7774.8,2016/3/23,37.2,37.2
775,上海,0,9.8,9.8,9.8,0,0,2016/3/23,9.8,9.8
776,广东,0,16.01,15.98,16,0,0,2016/3/23,17.26,16.01
777,天津,0,23.15,23.15,23.15,0,0,2016/3/23,23.15,23.15
778,SZ2015,1,40,40,40,0,40,2016/3/23,40,40
779,SZ2013,0,54.45,54.45,54.45,0,0,2016/3/23,54.45,54.45
