,date,FDL
220,2008/08/07,40097.27
221,2008/08/08,38564.36
222,2008/08/09,37383.91
223,2008/08/10,34433.86
224,2008/08/11,38708.96
225,2008/08/12,40723.61
226,2008/08/13,41398.52
227,2008/08/14,40292.72
228,2008/08/15,38902.27
229,2008/08/16,36375.93
230,2008/08/17,37435.6
231,2008/08/18,40763.95
232,2008/08/19,41073.7
233,2008/08/20,40550.64
234,2008/08/21,41764.81
235,2008/08/22,41437.2
236,2008/08/23,34032.57
237,2008/08/24,31984.62
238,2008/08/25,33304.17
239,2008/08/26,34501.58
240,2008/08/27,34914.31
241,2008/08/28,34381.63
242,2008/08/29,32870.88
243,2008/08/30,30792.96
244,2008/08/31,28718.48
245,2008/09/01,31166.36
246,2008/09/02,32242.4
247,2008/09/03,32672.4
248,2008/09/04,32939
249,2008/09/05,32121.25
250,2008/09/06,29838.55
251,2008/09/07,28956.5
252,2008/09/08,33022
253,2008/09/09,34201.6
254,2008/09/10,35103.75
255,2008/09/11,35743.25
256,2008/09/12,34656.75
257,2008/09/13,31507.8
258,2008/09/14,27081.45
259,2008/09/15,30059.05
260,2008/09/16,34694
261,2008/09/17,35477.74
262,2008/09/18,35311.2
263,2008/09/19,36297.6
264,2008/09/20,34627.5
265,2008/09/21,31778.5
266,2008/09/22,36362.65
267,2008/09/23,37699
268,2008/09/24,37687
269,2008/09/25,37671.75
270,2008/09/26,31632
271,2008/09/27,29473.8
272,2008/09/28,28420.1
273,2008/09/29,26379.85
274,2008/09/30,24397.35
275,2008/10/01,21601.8
276,2008/10/02,21566
277,2008/10/03,22229.65
278,2008/10/04,23921.34
279,2008/10/05,25039.7
280,2008/10/06,27871.75
281,2008/10/07,28615.15
282,2008/10/08,28773.1
283,2008/10/09,29815.85
284,2008/10/10,29980
285,2008/10/11,27527.5
286,2008/10/12,25769.5
287,2008/10/13,28380
288,2008/10/14,29017.65
289,2008/10/15,29034.75
290,2008/10/16,29209.2
291,2008/10/17,29564.3
292,2008/10/18,27768.75
293,2008/10/19,26620.82
294,2008/10/20,29548
295,2008/10/21,30080
296,2008/10/22,29918.51
297,2008/10/23,29316.7
298,2008/10/24,27996.2
299,2008/10/25,26381.65
300,2008/10/26,24485.75
301,2008/10/27,26855.05
302,2008/10/28,27303.6
303,2008/10/29,27563.25
304,2008/10/30,27329.19
305,2008/10/31,27044.5
306,2008/11/01,25113.4
307,2008/11/02,23668.6
308,2008/11/03,26491.83
309,2008/11/04,26930.88
310,2008/11/05,27254.4
311,2008/11/06,27422.25
312,2008/11/07,27077.6
313,2008/11/08,25106.95
314,2008/11/09,23630.12
315,2008/11/10,26693.68
316,2008/11/11,27436.35
317,2008/11/12,27332.2
318,2008/11/13,27068.5
319,2008/11/14,26822.75
320,2008/11/15,24802
321,2008/11/16,23593.9
322,2008/11/17,26483.4
323,2008/11/18,27255.8
324,2008/11/19,27910
325,2008/11/20,28091.5
326,2008/11/21,27764.4
327,2008/11/22,25690.3
328,2008/11/23,24724.09
329,2008/11/24,27624.67
330,2008/11/25,27915
331,2008/11/26,28282.2
332,2008/11/27,29125.2
333,2008/11/28,29284
334,2008/11/29,26643
335,2008/11/30,24903.75
336,2008/12/01,27447.6
337,2008/12/02,27872.42
338,2008/12/03,27716.48
339,2008/12/04,28609.77
340,2008/12/05,30544.15
341,2008/12/06,29016.63
342,2008/12/07,27100.5
343,2008/12/08,28992.75
344,2008/12/09,28721.05
345,2008/12/10,27992.52
346,2008/12/11,28717.8
347,2008/12/12,28328.15
348,2008/12/13,26354
349,2008/12/14,25529
350,2008/12/15,29173.25
351,2008/12/16,29251.15
352,2008/12/17,28964.5
353,2008/12/18,29226.25
354,2008/12/19,28790.23
355,2008/12/20,26384.7
356,2008/12/21,26212
357,2008/12/22,31857.8
358,2008/12/23,33069.9
359,2008/12/24,32886.7
360,2008/12/25,32143
361,2008/12/26,32070.55
362,2008/12/27,28985
363,2008/12/28,27356.25
364,2008/12/29,30381.25
365,2008/12/30,30295.85
366,2008/12/31,29904.8
367,2009/01/01,26123.8
368,2009/01/02,27441.8
369,2009/01/03,27647
370,2009/01/04,30889.9
371,2009/01/05,32222.13
372,2009/01/06,33090.5
373,2009/01/07,33606.53
374,2009/01/08,33355
375,2009/01/09,34409.6
376,2009/01/10,32536.9
377,2009/01/11,30560.45
378,2009/01/12,34397.05
379,2009/01/13,34951.75
380,2009/01/14,34464
381,2009/01/15,33887.35
382,2009/01/16,32135.95
383,2009/01/17,29190.3
384,2009/01/18,26888.3
385,2009/01/19,29108.3
386,2009/01/20,28115.3
387,2009/01/21,27698
388,2009/01/22,25713.9
389,2009/01/23,27225.75
390,2009/01/24,25515.45
391,2009/01/25,22962
392,2009/01/26,21735.75
393,2009/01/27,20406.08
394,2009/01/28,19748.79
395,2009/01/29,20301
396,2009/01/30,21056.2
397,2009/01/31,21256.13
398,2009/02/01,23195.43
399,2009/02/02,24746.25
400,2009/02/03,26340.24
401,2009/02/04,26979.6
402,2009/02/05,26960.15
403,2009/02/06,26823.65
404,2009/02/07,25226
405,2009/02/08,24772.5
406,2009/02/09,28111
407,2009/02/10,27614.85
408,2009/02/11,27242.3
409,2009/02/12,26710
410,2009/02/13,26722
411,2009/02/14,25983.77
412,2009/02/15,25400.75
413,2009/02/16,30288.85
414,2009/02/17,31562.65
415,2009/02/18,32303.95
416,2009/02/19,31945
417,2009/02/20,31779.6
418,2009/02/21,28917.96
419,2009/02/22,27550.5
420,2009/02/23,31046.5
421,2009/02/24,31279.4
422,2009/02/25,32275.1
423,2009/02/26,32577.8
424,2009/02/27,33064.55
425,2009/02/28,30294.76
426,2009/03/01,28423.6
427,2009/03/02,32628.75
428,2009/03/03,33558.65
429,2009/03/04,33135.25
430,2009/03/05,33091.3
431,2009/03/06,31676
432,2009/03/07,29734
433,2009/03/08,27339.4
434,2009/03/09,29079.35
435,2009/03/10,29678.15
436,2009/03/11,30035.2
437,2009/03/12,30518.85
438,2009/03/13,31530.7
439,2009/03/14,28718.75
440,2009/03/15,26378.05
441,2009/03/16,28099.78
442,2009/03/17,28059.8
443,2009/03/18,28041.24
444,2009/03/19,28270.75
445,2009/03/20,27812.25
446,2009/03/21,26389
447,2009/03/22,25262.3
448,2009/03/23,29585.05
449,2009/03/24,29385.08
450,2009/03/25,29579.1
451,2009/03/26,29163.5
452,2009/03/27,30315.4
453,2009/03/28,28278
454,2009/03/29,26643.75
455,2009/03/30,28637.25
456,2009/03/31,28612.7
457,2009/04/01,29385.1
458,2009/04/02,29311.4
459,2009/04/03,29084.15
460,2009/04/04,24622.4
461,2009/04/05,24377.8
462,2009/04/06,25969.15
463,2009/04/07,28003.75
464,2009/04/08,28067.5
465,2009/04/09,28025.85
466,2009/04/10,28085.9
467,2009/04/11,26579.95
468,2009/04/12,25209.75
469,2009/04/13,27678
470,2009/04/14,27973.75
471,2009/04/15,27991
472,2009/04/16,28328
473,2009/04/17,27906.62
474,2009/04/18,26385.35
475,2009/04/19,24837.36
476,2009/04/20,27540.2
477,2009/04/21,27932.9
478,2009/04/22,28230.8
479,2009/04/23,28146.7
480,2009/04/24,28243
481,2009/04/25,26461
482,2009/04/26,25102.75
483,2009/04/27,27350.55
484,2009/04/28,27753
485,2009/04/29,27586.28
486,2009/04/30,26752
487,2009/05/01,22154.15
488,2009/05/02,22710.4
489,2009/05/03,23918.5
490,2009/05/04,26672.12
491,2009/05/05,27582
492,2009/05/06,27848.1
493,2009/05/07,28187.55
494,2009/05/08,28735.75
495,2009/05/09,27291.75
496,2009/05/10,26275.7
497,2009/05/11,30480.25
498,2009/05/12,30169.45
499,2009/05/13,28939.5
500,2009/05/14,28941
501,2009/05/15,29157.6
502,2009/05/16,27918.1
503,2009/05/17,25521.65
504,2009/05/18,28536.55
505,2009/05/19,29212.75
506,2009/05/20,28680
507,2009/05/21,28743.08
508,2009/05/22,29193.45
509,2009/05/23,27455
510,2009/05/24,26217.25
511,2009/05/25,28502.9
512,2009/05/26,28990.75
513,2009/05/27,28825.8
514,2009/05/28,24201.18
515,2009/05/29,25421.3
516,2009/05/30,26119.4
517,2009/05/31,28133
518,2009/06/01,29957.23
519,2009/06/02,29427.61
520,2009/06/03,29814.8
521,2009/06/04,30231.13
522,2009/06/05,30189.76
523,2009/06/06,27889.53
524,2009/06/07,26703.5
525,2009/06/08,30006.17
526,2009/06/09,29590.87
527,2009/06/10,30969.22
528,2009/06/11,31443.55
529,2009/06/12,30840
530,2009/06/13,29501.48
531,2009/06/14,28227.7
532,2009/06/15,31339.62
533,2009/06/16,32314.3
534,2009/06/17,33274.05
535,2009/06/18,34395.5
536,2009/06/19,34042.14
537,2009/06/20,33326.68
538,2009/06/21,33336.35
539,2009/06/22,37764.6
540,2009/06/23,35738.42
541,2009/06/24,34112
542,2009/06/25,35706.6
543,2009/06/26,33993.77
544,2009/06/27,32334.65
545,2009/06/28,33425.9
546,2009/06/29,36404.32
547,2009/06/30,34083.18
548,2009/07/01,33447.6
549,2009/07/02,34548.12
550,2009/07/03,34577.98
551,2009/07/04,33112.7
552,2009/07/05,31410.5
553,2009/07/06,36890.85
554,2009/07/07,37155.98
555,2009/07/08,39947.71
556,2009/07/09,42527.2
557,2009/07/10,40561
558,2009/07/11,39668.63
559,2009/07/12,38021.65
560,2009/07/13,41214.57
561,2009/07/14,42357.98
562,2009/07/15,42975.81
563,2009/07/16,44229.14
564,2009/07/17,44462.64
565,2009/07/18,41258.15
566,2009/07/19,41219.72
567,2009/07/20,47650.43
568,2009/07/21,48183.46
569,2009/07/22,40670.6
570,2009/07/23,39580.03
571,2009/07/24,37539.77
572,2009/07/25,33780.25
573,2009/07/26,32359.73
574,2009/07/27,34862.47
575,2009/07/28,34198.39
576,2009/07/29,33747.5
577,2009/07/30,33331.5
578,2009/07/31,34157.08
579,2009/08/01,32455.48
580,2009/08/02,30383.5
581,2009/08/03,34209.01
582,2009/08/04,35849.08
583,2009/08/05,36914.64
584,2009/08/06,36059.65
585,2009/08/07,37433.77
586,2009/08/08,35460.91
587,2009/08/09,32694.84
588,2009/08/10,36319.7
589,2009/08/11,35875.49
590,2009/08/12,35417.97
591,2009/08/13,36331.9
592,2009/08/14,37392.89
593,2009/08/15,33714.4
594,2009/08/16,32977.5
595,2009/08/17,38211.65
596,2009/08/18,41307.66
597,2009/08/19,42712.53
598,2009/08/20,43371.5
599,2009/08/21,42906.98
600,2009/08/22,39886.05
601,2009/08/23,37655.9
602,2009/08/24,39006.28
603,2009/08/25,39617.53
604,2009/08/26,42826.97
605,2009/08/27,44140.38
606,2009/08/28,41839.63
607,2009/08/29,35273.64
608,2009/08/30,29957.95
609,2009/08/31,31650.69
610,2009/09/01,33940.65
611,2009/09/02,35495.14
612,2009/09/03,36432.5
613,2009/09/04,37206.6
614,2009/09/05,35535.25
615,2009/09/06,33664.75
616,2009/09/07,36856.9
617,2009/09/08,35174.84
618,2009/09/09,34060.19
619,2009/09/10,34319.12
620,2009/09/11,35934.25
621,2009/09/12,32265.55
622,2009/09/13,30034.25
623,2009/09/14,34264.39
624,2009/09/15,34707.8
625,2009/09/16,33058.44
626,2009/09/17,33085.92
627,2009/09/18,32376.01
628,2009/09/19,31199.1
629,2009/09/20,29834.9
630,2009/09/21,31810.5
631,2009/09/22,31803.95
632,2009/09/23,32781.2
633,2009/09/24,33546.6
634,2009/09/25,34133.05
635,2009/09/26,32151
636,2009/09/27,32443.55
637,2009/09/28,32637.75
638,2009/09/29,31951.35
639,2009/09/30,29720.9
640,2009/10/01,24042.4
641,2009/10/02,23255.95
642,2009/10/03,23402.65
643,2009/10/04,24789.15
644,2009/10/05,26582.75
645,2009/10/06,26729.5
646,2009/10/07,27808.25
647,2009/10/08,28508
648,2009/10/09,30055.55
649,2009/10/10,29935.49
