A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/4.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/4.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,1/2/2016 9:00,2016,1,2,9,147,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 10:00,2016,1,2,10,145,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 11:00,2016,1,2,11,137,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 12:00,2016,1,2,12,119,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 13:00,2016,1,2,13,79,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 14:00,2016,1,2,14,78,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 15:00,2016,1,2,15,70,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 16:00,2016,1,2,16,73,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 17:00,2016,1,2,17,92,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 18:00,2016,1,2,18,88,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 19:00,2016,1,2,19,100,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 20:00,2016,1,2,20,126,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 21:00,2016,1,2,21,111,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 22:00,2016,1,2,22,115,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 23:00,2016,1,2,23,116,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 0:00,2016,1,3,0,112,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 1:00,2016,1,3,1,127,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 2:00,2016,1,3,2,134,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 3:00,2016,1,3,3,151,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 4:00,2016,1,3,4,156,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 5:00,2016,1,3,5,153,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 6:00,2016,1,3,6,152,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 7:00,2016,1,3,7,144,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 8:00,2016,1,3,8,144,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 9:00,2016,1,3,9,143,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 10:00,2016,1,3,10,135,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 11:00,2016,1,3,11,139,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 12:00,2016,1,3,12,141,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 13:00,2016,1,3,13,135,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 14:00,2016,1,3,14,127,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 15:00,2016,1,3,15,132,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 16:00,2016,1,3,16,124,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 17:00,2016,1,3,17,118,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 18:00,2016,1,3,18,131,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 19:00,2016,1,3,19,141,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 20:00,2016,1,3,20,167,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 21:00,2016,1,3,21,163,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 22:00,2016,1,3,22,148,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 23:00,2016,1,3,23,136,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 0:00,2016,1,4,0,132,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 1:00,2016,1,4,1,131,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 2:00,2016,1,4,2,121,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 3:00,2016,1,4,3,123,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 4:00,2016,1,4,4,114,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 5:00,2016,1,4,5,107,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 6:00,2016,1,4,6,127,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 7:00,2016,1,4,7,136,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 8:00,2016,1,4,8,138,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 9:00,2016,1,4,9,132,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 10:00,2016,1,4,10,113,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 11:00,2016,1,4,11,126,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 12:00,2016,1,4,12,111,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 13:00,2016,1,4,13,118,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 14:00,2016,1,4,14,132,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 15:00,2016,1,4,15,135,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 16:00,2016,1,4,16,147,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 17:00,2016,1,4,17,143,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 18:00,2016,1,4,18,115,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 19:00,2016,1,4,19,108,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 20:00,2016,1,4,20,109,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 21:00,2016,1,4,21,114,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 22:00,2016,1,4,22,95,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 23:00,2016,1,4,23,66,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 0:00,2016,1,5,0,57,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 1:00,2016,1,5,1,37,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 2:00,2016,1,5,2,30,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 3:00,2016,1,5,3,35,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 4:00,2016,1,5,4,23,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 5:00,2016,1,5,5,10,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 6:00,2016,1,5,6,18,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 7:00,2016,1,5,7,23,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 8:00,2016,1,5,8,25,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 9:00,2016,1,5,9,21,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 10:00,2016,1,5,10,21,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 11:00,2016,1,5,11,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 12:00,2016,1,5,12,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 13:00,2016,1,5,13,25,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 14:00,2016,1,5,14,27,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 15:00,2016,1,5,15,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 16:00,2016,1,5,16,22,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 17:00,2016,1,5,17,32,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 18:00,2016,1,5,18,33,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 19:00,2016,1,5,19,40,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 20:00,2016,1,5,20,45,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 21:00,2016,1,5,21,42,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 22:00,2016,1,5,22,36,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 23:00,2016,1,5,23,31,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 0:00,2016,1,6,0,30,µg/m³,1 Hr,Valid
